reversed_path,pred_0,pred_1,pred_2,input,mean,deviation,VaR(CCC)
"['h1_0', 'h0_1', 'x_3']",-0.0760830919197966,-0.014054558238471189,0.03758213096827721,x_3,-0.01751850639666353,0.05691172924960951,0.0032389449261808582
"['h1_5', 'h0_0', 'x_1']",0.0008053789153290739,-0.007000382370445324,-0.10090599477617411,x_1,-0.035700332743763455,0.05660447197992703,0.0032040662481263443
"['h1_1', 'h0_1', 'x_0']",-0.0011634211370429679,0.006872118528418752,0.10028326294602946,x_0,0.035330653445801746,0.056393914433169164,0.0031802735850956056
"['h1_5', 'h0_1', 'x_0']",-0.0007879742382806945,0.006849100294327171,0.09872536126578829,x_0,0.03492882910727826,0.05538121850810982,0.0030670793634430056
"['h1_0', 'h0_0', 'x_1']",0.0738631086357813,0.013644468643446367,-0.03648554432304466,x_1,0.01700734431872767,0.05525113575359697,0.0030526880020624015
"['h1_0', 'h0_3', 'x_0']",-0.07228248341399085,-0.013352485383141063,0.035704776052484476,x_0,-0.016643397581549143,0.05406879533606412,0.002923434629093189
"['h1_4', 'h0_1', 'x_2']",0.010362484153812667,0.01084606992412711,0.10025291215127742,x_2,0.040487155409739066,0.05175922838456796,0.0026790177229658657
"['h1_4', 'h0_1', 'x_1']",-0.010249487825118865,-0.010727800398790205,-0.09915971761936698,x_1,-0.04004566861442535,0.05119482677037313,0.0026209102880485136
"['h1_0', 'h0_1', 'x_2']",-0.0666158139304004,-0.012305701738238133,0.03290565854408018,x_2,-0.01533861904151945,0.0498300091450785,0.0024830298113986066
"['h1_0', 'h0_1', 'x_1']",0.06588941065727066,0.012171515852133764,-0.03254684317186417,x_1,0.015171361112513418,0.049286644445205766,0.0024291733206681324
"['h1_3', 'h0_0', 'x_3']",-0.06475241446769324,-0.006557711589806335,0.02153904791758332,x_3,-0.016590359379972084,0.044011869267375346,0.0019370446364085382
"['h1_3', 'h0_1', 'x_0']",-0.058589804124500836,-0.0059336017152444185,0.019489135793524348,x_0,-0.015011423348740302,0.039823176027130494,0.001585885348887821
